"SP03_id","SP03D1003","SP03D1006","SP03D1004","SP03D1002","SP03D1001","SP03D1012","SP03D1020","SP03D1007","SP03D1008","SP03D1010"
13,4,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"CLES1","CLES1-COMOFFP4",True
14,5,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"CLES1","CLES1-COMEVEP5",True
15,6,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"CLES1","CLES1-COMWARP6",True
16,7,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"CLES1","CLES1-COMPROP7",True
17,8,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"CLES1","CLES1-AIRHOUP8",True
18,9,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"CLES1","CLES1-AIRCONP9",True
64,55,"P1","RESHOU","RESHOUP1","House","Residential",False,"FLOS6","FLOS6-RESHOUP1",True
65,56,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"FLOS6","FLOS6-RESCONP2",True
66,57,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"FLOS6","FLOS6-COMRESP3",True
67,58,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"FLOS6","FLOS6-COMOFFP4",True
68,59,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"FLOS6","FLOS6-COMEVEP5",True
69,60,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"FLOS6","FLOS6-COMWARP6",True
70,61,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"FLOS6","FLOS6-COMPROP7",True
71,62,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"FLOS6","FLOS6-AIRHOUP8",True
72,63,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"FLOS6","FLOS6-AIRCONP9",True
73,64,"P1","RESHOU","RESHOUP1","House","Residential",False,"EXTS7","EXTS7-RESHOUP1",True
74,65,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"EXTS7","EXTS7-RESCONP2",True
75,66,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"EXTS7","EXTS7-COMRESP3",True
76,67,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"EXTS7","EXTS7-COMOFFP4",True
77,68,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"EXTS7","EXTS7-COMEVEP5",True
78,69,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"EXTS7","EXTS7-COMWARP6",True
79,70,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"EXTS7","EXTS7-COMPROP7",True
80,71,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"EXTS7","EXTS7-AIRHOUP8",True
81,72,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"EXTS7","EXTS7-AIRCONP9",True
82,73,"P1","RESHOU","RESHOUP1","House","Residential",False,"LANS8","LANS8-RESHOUP1",True
83,74,"P2","RESCON","RESCONP2","Condo-Apartment","Residential",False,"LANS8","LANS8-RESCONP2",True
84,75,"P3","COMRES","COMRESP3","Restaurant","Commercial",False,"LANS8","LANS8-COMRESP3",True
85,76,"P4","COMOFF","COMOFFP4","Office","Commercial",False,"LANS8","LANS8-COMOFFP4",True
86,77,"P5","COMEVE","COMEVEP5","Event","Commercial",False,"LANS8","LANS8-COMEVEP5",True
87,78,"P6","COMWAR","COMWARP6","Warehouse","Commercial",False,"LANS8","LANS8-COMWARP6",True
88,79,"P7","COMPRO","COMPROP7","Production Site","Commercial",False,"LANS8","LANS8-COMPROP7",True
89,80,"P8","AIRHOU","AIRHOUP8","House","AirBnb",False,"LANS8","LANS8-AIRHOUP8",True
90,81,"P9","AIRCON","AIRCONP9","Condo-Apartment","AirBnb",False,"LANS8","LANS8-AIRCONP9",True
